addenda	addendum
algae	alga
alumnae	alumna
alumni	alumnus
analyses	analysi
andes	andes
antennae	antenna
antennas	antenna
apparatuses	apparatus
appendices	appendix
appendixes	appendix
atlas	atlas
bacilli	bacillus
bacteria	bacterium
bases	basi
beaux	beau
bias	bias
bison	bison
buffaloes	buffalo
buffalos	buffalo
bureaus	bureau
buses	bus
busses	bus
cacti	cactus
cactuses	cactus
calves	calf
canning	canning
cannings	canning
children	child
corpora	corpus
corps	corp
corpuses	corpus
cosmos	cosmos
crises	crisi
criteria	criterion
curricula	curriculum
data	datum
deer	deer
diagnoses	diagnosi
dice	die
dwarfs	dwarf
dwarves	dwarf
dying	die
early	earli
earring	earring
earrings	earring
echoes	echo
ellipses	ellipsi
elves	elf
embargoes	embargo
emphases	emphasi
errata	erratum
exceed	exceed
exceeded	exceed
exceeding	exceed
exceeds	exceed
feet	foot
firemen	fireman
fish	fish
fishes	fish
foci	focus
focuses	focus
formulas	formula
fungi	fungus
funguses	fungus
geese	goos
genera	genus
gently	gentl
halves	half
heroes	hero
herring	herring
herrings	herring
hippopotami	hippopotamus
hippopotamuses	hippopotamus
hoofs	hoof
hooves	hoof
howe	howe
hypotheses	hypothesi
idly	idl
indexes	index
indices	index
inning	inning
innings	inning
iphone6s	iphone6s
knives	knife
leaves	leaf
lice	lous
lives	life
loaves	loaf
lying	lie
matrices	matrix
means	mean
media	medium
memoranda	memorandum
men	man
mice	mous
milennia	millennium
millenniums	millennium
moose	moos
mosquitoes	mosquito
nebulae	nebula
nebulas	nebula
neuroses	neurosi
news	news
nuclei	nucleus
oases	oasi
octopi	octopus
octopuses	octopus
only	onli
outing	outing
outings	outing
ova	ovum
oxen	ox
pampers	pampers
paralyses	paralysi
parentheses	parenthesi
phenomena	phenomenon
phone6s	phone6s
potatoes	potato
proceed	proceed
proceeded	proceed
proceeding	proceed
proceeds	proceed
quizzes	quiz
radii	radius
radiuses	radius
scarfs	scarf
scarves	scarf
scissors	scissor
selves	self
series	seri
sheep	sheep
shelves	shelf
singly	singl
skies	sky
skis	ski
sky	sky
species	speci
stimuli	stimulus
strata	stratum
succeed	succeed
succeeded	succeed
succeeding	succeed
succeeds	succeed
syllabi	syllabus
syllabuses	syllabus
symposia	symposium
symposiums	symposium
synopses	synopsi
syntheses	synthesi
tableaux	tableau
teeth	tooth
these	this
theses	thesi
thieves	thief
those	this
tomatoes	tomato
torpedoes	torpedo
tying	tie
ugly	ugli
vertebrae	vertebra
vetoes	veto
vitae	vita
watches	watch
wives	wife
wolves	wolf
women	woman
zeroes	zero
zeros	zero
